Active;Available_for_order;Categories;Color;Delivery_time_of_in_stock_products;Description;Image_URLs;Manufacturer;Name;Product_ID;Quantity;Weight;Wholesale_price
1;1;stojaki serwisowe na rower;Color:czarny:0;6;Stojak naprawczy YC-117 marki Bike Hand pozwala na bezproblemowe wykonanie najprostszych napraw, takich jak regulacja przerzutek czy smarowanie napędu. Dodatkowo świetnie sprawdzi się jako stojak dla nieużywanego roweru. ;https://www.centrumrowerowe.pl/photo/product/bike-hand-yc-117n-2-98936-f-sk7-w780-h554_1.png,https://www.centrumrowerowe.pl/photo/product/bike-hand-yc-117n-2-98936-f-sk7-w780-h554_1.png;BIKE HAND;Stojak serwisowy BIKE HAND YC-117N;DD98936;3;2.24;47.99
1;1;stojaki serwisowe na rower;Color:beżowy:0;10;woom Dock to idealne rozwiązanie dla każdego, kto chce wygodnie i bezpiecznie przechowywać rower dziecięcy w garażu, piwnicy czy nawet mieszkaniu. Ten składany stojak będzie rewelacyjnie prezentował się w każdej przestrzeni, a po złożeniu zajmuje bardzo mało miejsca.Stojak opracowano na bazie opatentowanego zawiasu sprężynowego, dzięki któremu jego rozkładanie jest banalnie łatwe i może je wykonać nawet dziecko samodzielnie. Dodatkową zaletą tego rozwiązania jest niemal płaskie złożenie, wyróżniające ten model na tle konkurencji. Dzięki niemu niewykorzystywany stojak można wygodnie schować do szafy czy nawet płaskiej przestrzeni między meblami.Produkt marki woom wytwarzany jest wyłącznie w europejskich zakładach z wysokiej jakości sklejki fazowanej metodą CNC. Jest trwały i bezpieczny dla dzieci. Pasuje do wszystkich rowerków woom z serii 1, 2 oraz 3, ale także modeli innych firm z kołami o rozmiarach od 12 do 16 cali. Przekonaj się, jak praktyczne i wygodne jest to rozwiązanie do każdej przestrzeni!;https://www.centrumrowerowe.pl/photo/product/woom-dock-2-183865-f-sk7-w780-h554_1.png,https://www.centrumrowerowe.pl/photo/product/woom-dock-2-183865-f-sk7-w780-h554_2.png;WOOM;Stojak na rower WOOM Dock;DD183865;8;2.25;89.99
1;1;stojaki serwisowe na rower;Color:czerwony:0;2;;https://www.centrumrowerowe.pl/photo/product/feedback-sprint-2-203799-f-sk7-w780-h554_1.png,https://www.centrumrowerowe.pl/photo/product/feedback-sprint-2-203799-f-sk7-w780-h554_1.png;FEEDBACK;Adaptery FEEDBACK Sprint;DD203799;4;2.068; 129.99
1;0;stojaki serwisowe na rower;Color:czerwony:0;7;;https://www.centrumrowerowe.pl/photo/product/feedback-sprint-2-203790-f-sk7-w780-h554_1.png,https://www.centrumrowerowe.pl/photo/product/feedback-sprint-2-203790-f-sk7-w780-h554_1.png;FEEDBACK;Adapter osi do stojaka serwisowego FEEDBACK Sprint;DD203790;0;0.64;89.99
1;0;stojaki serwisowe na rower;Color:srebrny:0;9;;https://www.centrumrowerowe.pl/photo/product/feedback-sprint-2-203794-f-sk7-w780-h554_1.png,https://www.centrumrowerowe.pl/photo/product/feedback-sprint-2-203794-f-sk7-w780-h554_1.png;FEEDBACK;Adapter osi do stojaka serwisowego FEEDBACK Sprint;DD203794;0;2.876;89.99
1;0;stojaki serwisowe na rower;Color:czarny:0;6;Stojak serwisowy Eyen Service Stand 2.0 to niezwykle przydatne akcesorium dla osób zajmujących się konserwacją i naprawą rowerów. Znacznie zwiększy on komfort pracy, zapewniając łatwe dojście nawet do trudnodostępnych miejsc. Zastosowane w nim rozwiązania, takie jak choćby tacka na narzędzia, czy obrotowa głowica sprawią, że pielęgnacja Twoich dwóch kółek przebiegnie szybciej, sprawniej oraz wygodniej.Najważniejsze cechy W przeciwieństwie do poprzedniego modelu, w tej wersji zacisk zamyka się przy pomocy specjalnego pokrętła. Dzięki temu jest on niewielki, a jednocześnie trwały i równie łatwy w obsłudze, jak stosowany wcześniej szybkozamykacz.Produkt ułatwia dostęp do wszystkich części, jak choćby: koła, łańcuch, przerzutki, hamulce, suport, korba, itp. Usprawnia tym samym wykonywanie napraw, regulacji i konserwacji. Obrotowa głowica pozwala na zmianę położenia roweru w trakcie pracy.Eyen Service Stand 2.0 znacznie ułatwi Ci prace podejmowane przy rowerze. Dzięki zamocowanej na nim czterokomorowej tacce możesz odkładać śrubki bez obaw o ich zgubienie i mieć pod ręką wszystkie niezbędne narzędzia oraz płyny.Wysokość, na jakiej znajduje się rower można w łatwy sposób regulować. Dzięki temu dopasujesz ją do swoich potrzeb i pozycji, np. siedzącej lub stojącej, sprawiając, że naprawa lub mycie roweru staną się znacznie wygodniejsze.Stojak wyróżnia się składaną konstrukcją, dzięki czemu nie zajmuje dużo miejsca, kiedy nie jest używany. Jego rozłożenie wymaga niewiele czasu i nie wymaga żadnych narzędzi. To produkt łatwy w obsłudze. W tym modelu zastosowano dwie nogi, dzięki czemu bez problemu można postawić go przy ścianie. Takie rozwiązanie ułatwia rozstawienie w małych pomieszczeniach. Konstrukcję wyważono w taki sposób, że ciężar roweru stabilizuje stojak. Marka+EYENPolska marka specjalizująca się w produkcji odzieży, akcesoriów oraz części rowerowych, przeznaczonych zarówno dla osób jeżdżących rekreacyjnie, jak i entuzjastów kolarstwa.;https://www.centrumrowerowe.pl/photo/product/eyen-service-stand-2-0-2-205627-f-sk7-w780-h554_1.png,https://www.centrumrowerowe.pl/photo/product/eyen-service-stand-2-0-2-205627-f-sk7-w780-h554_2.png;EYEN;Stojak serwisowy EYEN Service Stand 2.0;DD205627;0;2.613; 199.99
1;1;stojaki serwisowe na rower;Color:None:0;3;;https://www.centrumrowerowe.pl/photo/product/park-tool-pth-1-2-9742-f-sk7-w780-h554_1.png,https://www.centrumrowerowe.pl/photo/product/park-tool-pth-1-2-9742-f-sk7-w780-h554_1.png;PARK TOOL;Uchwyt PARK TOOL PTH-1;DD9742;1;0.612;62.99
1;1;stojaki serwisowe na rower;Color:czarny-szary:0;10;Musisz nasmarować łańcuch i inne elementy napędu? A może chcesz przyjrzeć się bliżej komponentom? Stojak serwisowy PRO ułatwi Ci stabilne przechowywanie roweru na czas serwisowania. Ma solidną konstrukcję.Wszechstronny stojak z aluminiumStojak serwisowy PRO jest wykonany ze stopu aluminium, który łączy lekkość i wytrzymałość całej konstrukcji. Opiera się ona stabilnie o podłogę przez cały czas serwisowania. Rower możesz zabezpieczyć za pomocą specjalnego uchwytu, np. o sztycę podsiodłową. Jednoślad będzie bezpiecznie umiejscowiony, a Ty możesz wykonać szereg nieskomplikowanych prac w domowych warunkach. Łatwy dostęp do wszystkich komponentów przekłada się też na proste, sprawne i dokładne czyszczenie jednośladu. Ponadto konstrukcję można regulować. Stojak serwisowy PRO możesz złożyć po wykonanych czynnościach i przechować w łatwy sposób. Zmieścisz go nawet w szafie.;https://www.centrumrowerowe.pl/photo/product/pro-2-192301-f-sk7-w780-h554_1.png,https://www.centrumrowerowe.pl/photo/product/pro-2-192301-f-sk7-w780-h554_1.png;PRO;Stojak serwisowy PRO ;DD192301;9;0.015; 449.99
1;1;stojaki serwisowe na rower;Color:czarny-niebieski:0;10;;https://www.centrumrowerowe.pl/photo/product/park-tool-106-2-20665-f-sk7-w780-h554_1.png,https://www.centrumrowerowe.pl/photo/product/park-tool-106-2-20665-f-sk7-w780-h554_1.png;PARK TOOL;Podstawka PARK TOOL 106;DD20665;8;0.3; 199.99
1;1;stojaki serwisowe na rower;Color:czerwony:0;7;;https://www.centrumrowerowe.pl/photo/product/feedback-sprint-2-203793-f-sk7-w780-h554_1.png,https://www.centrumrowerowe.pl/photo/product/feedback-sprint-2-203793-f-sk7-w780-h554_1.png;FEEDBACK;Adapter osi do stojaka serwisowego FEEDBACK Sprint;DD203793;10;0.055;89.99
1;1;stojaki serwisowe na rower;Color:srebrny:0;3;Stojak serwisowy Bike Hand YC-100ST to profesjonalne akcesorium, które umożliwia łatwe i wygodne serwisowanie roweru w domu, garażu czy w warsztacie rowerowym. Został wykonany z wysokiej jakości aluminium, co gwarantuje wytrzymałość i stabilność podczas pracy. Dzięki przemyślanej konstrukcji, stojak można łatwo i szybko złożyć oraz przechowywać w dowolnym miejscu. Jego regulacja wysokości jest bardzo intuicyjna – za pomocą jednej dźwigni jesteśmy w stanie łatwo podnieść lub opuścić uchwyt, na którym zamocowany jest rower. Dzięki temu, użytkownik może swobodnie dostosować wysokość ramienia do potrzeb serwisowych, co zapewnia wygodę i ergonomię podczas pracy. Szczęki stojaka są pokryte specjalnymi, miękkimi, gumowymi elementami, które zapobiegają uszkodzeniom i zarysowaniom lakieru podczas serwisowania. ;https://www.centrumrowerowe.pl/photo/product/bike-hand-yc-100st-2-190807-f-sk7-w780-h554_1.png,https://www.centrumrowerowe.pl/photo/product/bike-hand-yc-100st-2-190807-f-sk7-w780-h554_2.png;BIKE HAND;Stojak serwisowy BIKE HAND YC-100ST;DD190807;10;1.035; 849.99
1;1;stojaki serwisowe na rower;Color:czarny:0;4;Stojak serwisowy, który idealnie sprawdzi się zarówno w profesjonalnym serwisie jak i w przydomowym warsztacie.  Trójnożna podstawa gwarantuje stabilność stojaka, a udźwig do 29,5 kg pozwala na serwisowanie każdego typu roweru (z rowerami elektrycznymi włącznie).;https://www.centrumrowerowe.pl/photo/product/feedback-sport-mechanic-2-99788-f-sk7-w780-h554_1.png,https://www.centrumrowerowe.pl/photo/product/feedback-sport-mechanic-2-99788-f-sk7-w780-h554_2.png;FEEDBACK;Stojak serwisowy FEEDBACK Sport-Mechanic;DD99788;9;0.579; 889.99
1;1;stojaki serwisowe na rower;Color:czarny:0;4;FEEDBACK Recreational to prosty, kompaktowy stojak serwisowy, który idealnie sprawdzi się w przydomowym warsztacie, czy też w niewielkim serwisie.;https://www.centrumrowerowe.pl/photo/product/feedback-recreational-2-203744-f-sk7-w780-h554_1.png,https://www.centrumrowerowe.pl/photo/product/feedback-recreational-2-203744-f-sk7-w780-h554_2.png;FEEDBACK;Stojak serwisowy FEEDBACK Recreational;DD203744;3;0.176; 969.99
1;1;stojaki serwisowe na rower;Color:niebieski:0;9;Serwisujesz swój jednoślad? Chcesz komfortowo i precyzyjnie dotrzeć do trudno dostępnych miejsc? Stojak montażowy PARK TOOL PCS-9.3 pozwoli Ci na przyjemną i sprawną konserwację swojego roweru. Z jego pomocą możesz np. zamontować nowe części.Konstrukcja stojaka gwarantuje stabilność oraz bezpieczeństwo Twojego jednośladu. Do dyspozycji masz rurę teleskopową, dlatego dostosujesz wysokość mocowania do swoich potrzeb. Maksymalne obciążenie to 36 kilogramy.Niezależnie od tego, jaki rower posiadasz, Park Tool PCS-9.3 jest wszechstronny i uniwersalny. Po rozłożeniu zablokujesz nóżki, dlatego cała konstrukcja jest solidna. Bez problemu poradzisz sobie z mocowaniem roweru. Możesz zacisnąć sztycę lub ramę w obrotowej szczęce. Po zakończeniu prac montażowych i konserwacyjnych z łatwością złożysz stojak, a następnie przechowasz go w piwnicy czy też garażu. Tak prosta i niewielka konstrukcja sprawdza się również podczas transportu autem.;https://www.centrumrowerowe.pl/photo/product/park-tool-pcs-9-3-2-181589-f-sk7-w780-h554_1.png,https://www.centrumrowerowe.pl/photo/product/park-tool-pcs-9-3-2-181589-f-sk7-w780-h554_2.png;PARK TOOL;Stojak serwisowy PARK TOOL PCS-9.3;DD181589;5;2.224; 999.99
1;1;stojaki serwisowe na rower;Color:czarny:0;7;\r\nStojak na rower Bike Hand YC-103 pasuje do rowerów o różnym rozmiarze. Regulacja wysokości dolnego uchwytu i możliwość dostosowania kąta ułożenia pozwalają przystosować produkt do różnorodnych modeli jednośladów. Przeznaczeniem stojaka jest przechowywanie roweru oraz ułatwianie dokonywania drobnych napraw.\r\n;https://www.centrumrowerowe.pl/photo/product/bike-hand-yc-103-2-126242-f-sk7-w780-h554_1.png,https://www.centrumrowerowe.pl/photo/product/bike-hand-yc-103-2-126242-f-sk7-w780-h554_1.png;BIKE HAND;Stojak serwisowy BIKE HAND YC-103;DD126242;4;0.573;69.99
1;1;stojaki serwisowe na rower;Color:czarny:0;4;\r\nStojak warsztatowy do rowerów ze stabilną statywową podstawą z szybkozamykaczem. Składany do małych rozmiarów do przechowywania lub transportu. \r\n;https://www.centrumrowerowe.pl/photo/product/topeak-prepstand-elite-2-196942-f-sk7-w780-h554_1.png,https://www.centrumrowerowe.pl/photo/product/topeak-prepstand-elite-2-196942-f-sk7-w780-h554_2.png;TOPEAK;Stojak serwisowy TOPEAK PrepStand Elite;DD196942;8;1.758;1 249.99
1;1;stojaki serwisowe na rower;Color:czarny-czarny-srebrny:0;10;;https://www.centrumrowerowe.pl/photo/product/topeak-dual-touch-2-94833-f-sk7-w780-h554_1.png,https://www.centrumrowerowe.pl/photo/product/topeak-dual-touch-2-94833-f-sk7-w780-h554_2.png;TOPEAK;Stojak na rower TOPEAK Dual-Touch;DD94833;4;2.371; 829.99
1;0;stojaki serwisowe na rower;Color:czerwony:0;9;;https://www.centrumrowerowe.pl/photo/product/feedback-sprint-2-99805-f-sk7-w780-h554_1.png,https://www.centrumrowerowe.pl/photo/product/feedback-sprint-2-99805-f-sk7-w780-h554_2.png;FEEDBACK;Stojak serwisowy FEEDBACK Sprint;DD99805;0;1.746;1 299.99
1;1;stojaki serwisowe na rower;Color:czarny-srebrny:0;4;;https://www.centrumrowerowe.pl/photo/product/topeak-flash-stand-fat-2-21536-f-sk7-w780-h554_1.png,https://www.centrumrowerowe.pl/photo/product/topeak-flash-stand-fat-2-21536-f-sk7-w780-h554_2.png;TOPEAK;Stojak TOPEAK Flash Stand Fat;DD21536;3;0.536; 109.99
1;1;stojaki serwisowe na rower;Color:czarny:0;6;Profesjonalny stojak montażowy PRS-25 od Park Tool wyposażony jest w ramię obracające się o 360 stopni. Stabilna i jednocześnie lekka konstrukcja.;https://www.centrumrowerowe.pl/photo/product/park-tool-prs-25-2-118812-f-sk7-w780-h554_1.png,https://www.centrumrowerowe.pl/photo/product/park-tool-prs-25-2-118812-f-sk7-w780-h554_2.png;PARK TOOL;Stojak serwisowy PARK TOOL PRS-25;DD118812;4;2.32;1 999.99
